"date","load","unit","year","time_interval","country"
2017-01-08 08:00:00,71039,"MAW",2017,60,"FR"
2017-01-08 09:00:00,73588,"MAW",2017,60,"FR"
2017-01-08 10:00:00,74815,"MAW",2017,60,"FR"
2017-01-08 11:00:00,76096,"MAW",2017,60,"FR"
2017-01-08 12:00:00,73758,"MAW",2017,60,"FR"
2017-01-08 13:00:00,70130,"MAW",2017,60,"FR"
2017-01-08 14:00:00,67748,"MAW",2017,60,"FR"
2017-01-08 15:00:00,66715,"MAW",2017,60,"FR"
2017-01-08 16:00:00,69423,"MAW",2017,60,"FR"
2017-01-08 17:00:00,74258,"MAW",2017,60,"FR"
2017-01-08 18:00:00,75634,"MAW",2017,60,"FR"
2017-01-08 19:00:00,73766,"MAW",2017,60,"FR"
2017-01-08 20:00:00,71284,"MAW",2017,60,"FR"
2017-01-08 21:00:00,71647,"MAW",2017,60,"FR"
2017-01-08 22:00:00,72861,"MAW",2017,60,"FR"
2017-01-08 23:00:00,70478,"MAW",2017,60,"FR"
2017-01-09 00:00:00,68400,"MAW",2017,60,"FR"
2017-01-09 01:00:00,67212,"MAW",2017,60,"FR"
2017-01-09 02:00:00,64604,"MAW",2017,60,"FR"
2017-01-09 03:00:00,63937,"MAW",2017,60,"FR"
2017-01-09 04:00:00,66729,"MAW",2017,60,"FR"
2017-01-09 05:00:00,72598,"MAW",2017,60,"FR"
2017-01-09 06:00:00,78775,"MAW",2017,60,"FR"
2017-01-09 07:00:00,81049,"MAW",2017,60,"FR"
2017-01-09 08:00:00,81431,"MAW",2017,60,"FR"
2017-01-09 09:00:00,81539,"MAW",2017,60,"FR"
2017-01-09 10:00:00,81547,"MAW",2017,60,"FR"
2017-01-09 11:00:00,81089,"MAW",2017,60,"FR"
2017-01-09 12:00:00,79610,"MAW",2017,60,"FR"
2017-01-09 13:00:00,77960,"MAW",2017,60,"FR"
2017-01-09 14:00:00,76073,"MAW",2017,60,"FR"
2017-01-09 15:00:00,75630,"MAW",2017,60,"FR"
2017-01-09 16:00:00,78039,"MAW",2017,60,"FR"
2017-01-09 17:00:00,81631,"MAW",2017,60,"FR"
2017-01-09 18:00:00,81223,"MAW",2017,60,"FR"
2017-01-09 19:00:00,77019,"MAW",2017,60,"FR"
2017-01-09 20:00:00,72928,"MAW",2017,60,"FR"
2017-01-09 21:00:00,72734,"MAW",2017,60,"FR"
2017-01-09 22:00:00,73362,"MAW",2017,60,"FR"
2017-01-09 23:00:00,70508,"MAW",2017,60,"FR"
2017-01-10 00:00:00,68622,"MAW",2017,60,"FR"
2017-01-10 01:00:00,67038,"MAW",2017,60,"FR"
2017-01-10 02:00:00,64373,"MAW",2017,60,"FR"
2017-01-10 03:00:00,63482,"MAW",2017,60,"FR"
2017-01-10 04:00:00,65916,"MAW",2017,60,"FR"
2017-01-10 05:00:00,71882,"MAW",2017,60,"FR"
2017-01-10 06:00:00,78280,"MAW",2017,60,"FR"
2017-01-10 07:00:00,80430,"MAW",2017,60,"FR"
2017-01-10 08:00:00,80475,"MAW",2017,60,"FR"
2017-01-10 09:00:00,80511,"MAW",2017,60,"FR"
2017-01-10 10:00:00,80867,"MAW",2017,60,"FR"
2017-01-10 11:00:00,80721,"MAW",2017,60,"FR"
2017-01-10 12:00:00,79365,"MAW",2017,60,"FR"
2017-01-10 13:00:00,78063,"MAW",2017,60,"FR"
2017-01-10 14:00:00,76271,"MAW",2017,60,"FR"
2017-01-10 15:00:00,75945,"MAW",2017,60,"FR"
2017-01-10 16:00:00,78406,"MAW",2017,60,"FR"
2017-01-10 17:00:00,81956,"MAW",2017,60,"FR"
2017-01-10 18:00:00,81568,"MAW",2017,60,"FR"
2017-01-10 19:00:00,76910,"MAW",2017,60,"FR"
2017-01-10 20:00:00,72742,"MAW",2017,60,"FR"
2017-01-10 21:00:00,72429,"MAW",2017,60,"FR"
2017-01-10 22:00:00,73095,"MAW",2017,60,"FR"
2017-01-10 23:00:00,70140,"MAW",2017,60,"FR"
2017-01-11 00:00:00,67613,"MAW",2017,60,"FR"
2017-01-11 01:00:00,66173,"MAW",2017,60,"FR"
2017-01-11 02:00:00,63670,"MAW",2017,60,"FR"
2017-01-11 03:00:00,62849,"MAW",2017,60,"FR"
2017-01-11 04:00:00,65273,"MAW",2017,60,"FR"
2017-01-11 05:00:00,70645,"MAW",2017,60,"FR"
2017-01-11 06:00:00,76726,"MAW",2017,60,"FR"
2017-01-11 07:00:00,78932,"MAW",2017,60,"FR"
2017-01-11 08:00:00,79046,"MAW",2017,60,"FR"
2017-01-11 09:00:00,78700,"MAW",2017,60,"FR"
2017-01-11 10:00:00,78741,"MAW",2017,60,"FR"
2017-01-11 11:00:00,78538,"MAW",2017,60,"FR"
2017-01-11 12:00:00,77224,"MAW",2017,60,"FR"
2017-01-11 13:00:00,75607,"MAW",2017,60,"FR"
2017-01-11 14:00:00,73719,"MAW",2017,60,"FR"
2017-01-11 15:00:00,72888,"MAW",2017,60,"FR"
2017-01-11 16:00:00,74848,"MAW",2017,60,"FR"
2017-01-11 17:00:00,78749,"MAW",2017,60,"FR"
2017-01-11 18:00:00,78551,"MAW",2017,60,"FR"
2017-01-11 19:00:00,74584,"MAW",2017,60,"FR"
2017-01-11 20:00:00,70677,"MAW",2017,60,"FR"
2017-01-11 21:00:00,70257,"MAW",2017,60,"FR"
2017-01-11 22:00:00,71006,"MAW",2017,60,"FR"
2017-01-11 23:00:00,68305,"MAW",2017,60,"FR"
2017-01-12 00:00:00,65656,"MAW",2017,60,"FR"
2017-01-12 01:00:00,64440,"MAW",2017,60,"FR"
2017-01-12 02:00:00,61790,"MAW",2017,60,"FR"
2017-01-12 03:00:00,60662,"MAW",2017,60,"FR"
2017-01-12 04:00:00,63043,"MAW",2017,60,"FR"
2017-01-12 05:00:00,68769,"MAW",2017,60,"FR"
2017-01-12 06:00:00,74987,"MAW",2017,60,"FR"
2017-01-12 07:00:00,76971,"MAW",2017,60,"FR"
